Status ,Find companies,Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL,Solar Developer True Or_False,Contains Relevant Keywords,Link Of_Page,Utility_Check,Residential Mention,Find warm intros to company,Connection Strength Normalized,Connector Overlap,Internal Connector Owner,Name of Person Connected,Linkedin Url of Connector,Work Email,Connector Current Company Name,Connector Current Title,Find Contacts at Company,Find people at company,Find people at company (SMB),Find people,Find people at company (2),Custom Waterfall,Send table data,Referral Request,Details 
,,180 Degrees Solar,"180 Degrees Solar, is not your typical solar company, at the risk of sounding absurdly inflated and self-important, we like to think of ourselves more as an ‘energy efficiency lifestyle brand’ put on this earth to help our fellow man… 

POWER THROUGH obstacles, outages, wildfires, floods, hurricanes, diseases, disasters…or whatever life throws your way! We are here to make sure your lights never go out, so you can confidently take your life off grid while knowing that at the end of the day, your porch light will be there to guide you home no matter what! We have Residential Solar, Commercial Solar, and Solar Battery solutions for that power company problem everyone keeps having! 180 Degrees Solar is here to help you create a brighter future, together, with POWERful customer service from start to finish. 

We help people make their homes and businesses more energy independent and more energy efficient by helping them transition to a cleaner, cheaper source of power. Whether you want to go off the grid by creating your own, personal micro-grid on your property, or if your goal is simply to cut costs and make budgeting for monthly expenses easier, we have a solar solution for you. The key to savings with a renewable energy source like solar, is to reallocate the resources you already pay your power company each month towards paying off your solar system.  It is like a mortgage for your electricity, finally, it’s making sense, right? Absolutely NO upfront or extra monthly costs, NO money down, NO install fees…this is not a thing you pay in addition to your power bill, this is a thing that you pay instead of your power bill. It is something you pay off, that costs less money on each month than it does to simply sit back and do nothing. Just wanted to make that clear. But if it isn’t, please reach out and we would love to walk you through the way we solar. 

We do it differently. We do it better. We are here to make YOU more powerful!",Renewables & Environment,11-50 employees,Self Employed,"Charleston, SC",United States,180degreessolar.com,https://www.linkedin.com/company/180degreesolar,TRUE,TRUE,https://180degreessolar.com,FALSE,TRUE,❌ No relationships found,,,,,,,,,Found 1 People,,,,,,✅ Sent,,
,,1st Light Energy Inc,"1st Light Energy Inc. was founded in October of 2004 with the vision to provide alternative energy solutions that positively impact our environment with solid financial returns for our customers – both residential and commercial. Through this vision, we have become one of the most experienced solar companies in the Nation. Many of our employees at 1st Light Energy started in the solar industry in the late 1990's and early 2000's. 1st Light Energy has been a stable and growing California-based nationally branded photovoltaic (PV) systems installer and integrator. We are a complete Renewable Energy Firm that helps residential and corporate customers reduce their electrical energy consumption and carbon footprint through advanced, turn-key solar energy systems. While many solar companies have come and gone, here at 1st Light Energy, we remain servicing each and every customer and taking care of all warranty issues. A solar system is only as good as the company who installed it and so long as that company is in business to maintain it.",Renewable Energy Semiconductor Manufacturing,201-500 employees,Privately Held,"Manteca, CA",United States,1stlightenergy.com,https://www.linkedin.com/company/1st-light-energy-inc,TRUE,TRUE,https://1stlightenergy.com,FALSE,TRUE,❌ No relationships found,,,,,,,,,,,,,,,,,
,,3MG Roofing & Solar,"3MG SOLUTIONS, LLC is the parent company of 3MG Roofing and 3MG Solar. As a company, we take a technology-first approach with each of our divisions. Our corporate culture is based on team-work, respect and a passion for excellence. We believe in giving back to the community that supports us. That is why we are an official roofer and roofing partner of UCF Athletics with more partnerships to come.",Construction,51-200 employees,Privately Held,"Winter Park, FL",United States,3mg.com,https://www.linkedin.com/company/3mgroofing,TRUE,TRUE,https://3mg.com/commercial-roofing,FALSE,TRUE,❌ No relationships found,,,,,,,,,Found 2 People,,,,,,✅ Sent 2 rows,,
,,548 Enterprise,"The 548 Enterprise philosophy is to redevelop metropolitan communities by utilizing renewable and sustainable technologies, allowing us to create savings for families, lower environmental impact, and drive value for the community.

548 Enterprise is aiming high with attainable stretch goals for units built, lowering carbon emissions, putting an end to sky-high utility bills for tenants, and creating the first investment fund in the country to focus on community solar and sustainable, affordable housing.

In 2022, 548 combined it’s various entities under 548 Enterprise, allowing it to have an even more expansive reach and cultivate opportunities for partners, residents, investors, and communities at large. Learn more at 548enterprise.com",Housing and Community Development,11-50 employees,Privately Held,"Chicago, Illinois",United States,548enterprise.com,https://www.linkedin.com/company/548enterprise,TRUE,TRUE,http://548enterprise.com,FALSE,TRUE,,,,,,,,,,❌ No Profile Found,✅ Found 10 people,,,,,✅ Sent 0 rows,,
,,603 Solar,"603 Solar is a Residential Solar provider  based in Portsmouth, NH helping homeowners receive the best return on investment possible with the opportunity that solar has to offer! 

603 Solar helps homeowners understand what their needs are and how much solar production they will need to offset their electric bill. We help calculate how much solar you will need, design exactly how the system will layout, and handle all the applications and permits required to approve a solar installation. Once approved we coordinate the installation and inspection of the system, and once it has been approved the system is ready to start collecting energy for you!",Renewables & Environment,2-10 employees,Partnership,"Exeter, New Hampshire",United States,603solar.com,https://www.linkedin.com/company/603-solar,TRUE,TRUE,http://603solar.com,FALSE,TRUE,❌ No relationships found,,,,,,,,,❌ No Profile Found,✅ Found 5 people,,,,,✅ Sent 0 rows,,
,,A.M. Sun Solar + Roofing,"A.M. Sun Solar & Roofing began in 2001 with a simple goal; to design and install the best solar energy solutions. We provide great value and outstanding customer service to residences and businesses throughout Central California. Our mission of, ""Growing Communities with the Power of the Sun"", as well as our core values define everything we do.",Solar Electric Power Generation,51-200 employees,Privately Held,"Paso Robles, CA",United States,amsunsolar.com,https://www.linkedin.com/company/am-sun-solar,TRUE,TRUE,https://amsunsolar.com/solar-blog/uncategorized/local-non-profit-founders-get-solar-eblast/,FALSE,TRUE,❌ No relationships found,,,,,,,,,Found 2 People,,,,,,✅ Sent 2 rows,,
,,A&R Solar,"A&R Solar installs solar energy systems for homes and businesses across Washington and Oregon. We have offices and staff in Puget Sound, Portland, Bend, and the Eastern Washington area.

We have been designing solar energy systems for Northwest homes since 2007. Our system designers live in Washington and Oregon and have deep experience creating systems that maximize solar potential for each unique project.

Here are two other things that set us apart: We don’t use call centers. We don’t subcontract our electrical work. When you talk to an A&R Solar representative, that person is an employee, perhaps even an employee owner. Ask them.

And here are the things we promise:

1) We’ll show up when we say we’re going to.
2) We’ll do what we say we’re going to
3) We’ll communicate professionally should complications arise.

We're a Certified B Corporation and Social Purpose Corporation, meaning we put people and planet right along with profit.  We also are a Tesla Powerwall Certified Installer, a 3-star Trade Ally of the Energy Trust of Oregon, and have more NABCEP certified employees than any other installer in the Northwest. 

Contact us to see about solar for your home or business--or to see if we have job openings. We look forward to hearing from you.",Solar Electric Power Generation,51-200 employees,Privately Held,"Seattle, WA",United States,a-rsolar.com,https://www.linkedin.com/company/a&r-solar,TRUE,TRUE,https://www.a-rsolar.com/blog/giving-back-to-our-communities-in-2019/,FALSE,TRUE,❌ No relationships found,,,,,,,,,Found 2 People,,,,,,✅ Sent 2 rows,,
,,"A1A Solar Contracting, Inc.","At A1A Solar, our mission is to target and destroy electric bills. In addition to solar PV and batteries, we are licensed for HVAC installation and service (high efficiency inverter-based heat pumps), ensuring that the largest driver of your home's electric bill is properly sized, installed, and maintained to run at peak efficiency—minimizing energy bills while enhancing home comfort.

At our core, we are passionate about renewable energy and energy efficiency, to help you reduce *before* you produce. Our diverse array of innovative solutions is crafted to not just improve the energy efficiency of your home or business, but to empower independence and the lowest electric bills possible.

Our Energy Advisors evaluate your home for opportunities to improve energy efficiency and cut your electric bill — reduce *before* you produce! We can then design solar PV and/or battery systems to further reduce your electric bill and give you power and energy independence in grid-down situations. We also install EV chargers, high-efficiency heat-pump water heaters, and solar attic fans and insulation. Schedule a no-obligation energy evaluation to start saving today!

We accomplish this by providing the highest quality product and workmanship possible and also by maintaining our core values of integrity in all we do, customer centricity, employee health and safety, and community involvement.

FL Licenses: HVAC CAC1823607, Solar CVC 56771, Electrical EC 13001175, General CGC 1513100.

NABCEP Accredited Company",Services for Renewable Energy,11-50 employees,Self Owned,"Jacksonville, FL",United States,a1asolar.com,https://www.linkedin.com/company/a1a-solar-contracting-inc,TRUE,TRUE,https://a1asolar.com/what-we-do/commercial,FALSE,TRUE,❌ No relationships found,,,,,,,,,❌ No Profile Found,✅ Found 10 people,,,,,✅ Sent 0 rows,,
,,"ABCO Solar, Inc.","At ABCO Solar, we offer full-service solutions when it comes to solar power systems. This includes obtaining the necessary permits, helping you fill out the right documentation, designing your system, installation, and post-installation inspection. We do all of the work ourselves; no sub-contractors are ever involved.

We are a fully licensed sales and installation company, and we provide service for people all over the state of Arizona. We employ a top-notch team of installers, engineers, and electricians who have the experience and expertise to do the job right. Our services include:

 - Solar Photovoltaic power systems
 - Residential and commercial installation and repair
 - Parking lot structures and solar LED lighting installation and repair
 - Pool and spa solar thermal heating

If you're interested in solar panels, ABCO Solar has the right solutions for your unique needs. The manufacturers offer a 25-year warranty on all systems. In addition, we offer financing options to help you fit our services into your budget. Don't wait another day to own your own power, call us today!",Renewable Energy Semiconductor Manufacturing,11-50 employees,Privately Held,"Tucson, AZ",United States,abcosolar.com,https://www.linkedin.com/company/abco-solar-inc-,TRUE,TRUE,https://abcosolar.com/commercial-solar/,FALSE,TRUE,❌ No relationships found,,,,,,,,,,,,,,,,,
,,"Accord Power, Inc.","Accord Power is the leading solar company with more than 12 years of combined experience. We are a locally owned and operated company that offers customized commercial and home solar panel installations, repairs, and more in NY and NJ.",Solar Electric Power Generation,11-50 employees,Privately Held,"Flushing, NY",United States,accordpower.com,https://www.linkedin.com/company/accordpower,TRUE,TRUE,http://www.accordpower.com,FALSE,TRUE,❌ No relationships found,,,,,,,,,Found 2 People,,,,,,✅ Sent 2 rows,,
